"path","status","source_type","notes"
"完整副本/04_内容发布/小红书/2026-05-17-暂估图文/发布文案.md","已抽取样本","原始素材","样本抽取于 2026-06-05；模式：extract-article"
"完整副本/04_内容发布/小红书/2026-05-18-品牌材料图文/发布文案.md","已抽取样本","原始素材","样本抽取于 2026-06-05；模式：extract-article"
"完整副本/03_内容创作母系统/00_旧观点库/第一批旧观点卡-2026-05-28/01-报价单不是价格表而是责任边界表.md","已抽取样本","原始素材","样本抽取于 2026-06-05；模式：extract-short-draft"
"完整副本/03_内容创作母系统/00_旧观点库/第一批旧观点卡-2026-05-28/10-传统行业人学AI不是转型是经验系统化.md","已抽取样本","原始素材","样本抽取于 2026-06-05；模式：extract-short-draft"
"完整副本/03_素材证据库/方法卡/装修报价风险洞察六层框架.md","已抽取样本","原始素材","样本抽取于 2026-06-05；模式：extract-article"
